Id,Name,Surname,Division,Manager,Gender,Ethnicity,Disability,Veteran,Age,Nationality
103,Chuck,Hunt,Marketing,No,Female,White,No,No,26,Chinese
104,Charlotte,Payne,IT,No,Male,White,Yes,No,58,Canadian
105,Christine,Chappell,Sales,No,Male,Asian,No,No,25,American
106,Brooklyn,Cork,Marketing,No,Male,Black,Yes,No,29,American
107,Tyler,Hastings,Sales,No,Male,Black,No,No,64,English
108,Mark,Mcgee,Marketing,No,Female,White,No,No,32,Canadian
109,Mike,Tyler,HR,No,Male,White,Yes,No,57,Indian
110,Rick,Parr,Operations,Yes,Male,White,Yes,No,28,Canadian
111,Anne,Button,IT,No,Male,White,No,No,54,Moroccan
112,Enoch,Higgs,HR,No,Male,White,No,No,30,Canadian
113,Benjamin,Graham,Marketing,No,Female,Prefer not to say,No,No,39,Indian
114,Remy,Potter,HR,No,Male,White,No,No,46,Canadian
115,Marie,Brown,Sales,No,Male,White,No,No,42,Canadian
116,Benny,Moore,Sales,No,Male,White,No,No,41,Bangladeshi
117,Rocco,Garcia,Sales,No,Female,Black,Prefer not to say,No,29,Polish
118,Drew,Drummond,Sales,No,Female,White,No,No,35,Canadian
119,Sage,Kelly,Sales,No,Female,White,No,No,32,British
120,Alan,Dann,HR,No,Male,White,No,No,44,Canadian
121,Rhea,Jarvis,Finance,No,Male,White,No,No,49,Indian
122,Clint,Gray,Marketing,No,Male,White,No,No,42,Canadian
123,Bart,Kelly,Sales,No,Male,White,No,No,36,Hungarian
124,Ciara,Ellis,Operations,No,Male,White,Yes,No,58,Canadian
125,Enoch,Morrow,Sales,No,Male,White,No,No,47,Canadian
126,Robyn,Whittle,RD,Yes,Female,White,No,No,65,Canadian
127,Mandy,Mullins,Finance,No,Male,White,No,No,60,Canadian
128,Roger,Neville,Sales,No,Male,White,Yes,No,33,Colombian
129,Noemi,Ward,Operations,No,Male,White,No,No,27,Canadian
130,Ilona,Wright,IT,No,Male,Asian,No,No,50,American
131,Kimberly,Brown,IT,No,Female,White,Yes,No,52,Canadian
132,Charlize,Graham,Sales,No,Female,Latin,No,No,25,Korean
133,Brooklyn,Palmer,Operations,Yes,Female,White,No,No,26,Dominican
134,Alexander,Kent,HR,No,Male,White,Yes,No,44,Indian
135,Russel,Freeburn,IT,No,Male,White,No,No,53,Zambian
136,Florence,Stevens,IT,No,Male,White,No,No,27,Canadian
137,Chelsea,Rivers,Operations,No,Male,White,Yes,No,38,Lebanese
138,Daron,Palmer,Marketing,No,Female,White,No,No,31,Scottish
139,Christine,Collins,IT,No,Male,White,No,No,54,Canadian
140,Michael,Lowe,HR,Yes,Male,Black,No,No,41,Indian
141,Zara,Gibson,Sales,No,Male,White,No,No,35,British
142,Rocco,Bradshaw,Sales,No,Male,White,No,No,28,Canadian
143,Jayden,Collins,Marketing,No,Male,Asian,No,No,39,Canadian
144,Paula,Harrington,Operations,No,Female,Black,No,No,50,Latvian
145,Rosalyn,Umney,Sales,No,Male,Black,No,No,26,Canadian
146,Logan,Noon,IT,No,Female,White,No,No,34,Lao
147,Savannah,Mcgee,Sales,No,Male,White,No,No,62,British
148,Mandy,Tennant,Sales,No,Female,White,No,No,29,Indian
149,Benjamin,Hopkins,IT,No,Female,White,No,No,33,American
150,Piper,Selby,Operations,No,Male,Asian,No,No,33,Canadian
151,Felicity,Richards,Marketing,No,Female,White,Yes,No,48,Canadian
152,Rose,Cooper,Operations,No,Male,Black,Yes,No,35,Canadian
153,Elijah,Welsch,Finance,No,Male,White,No,No,44,Peruvian
154,Aiden,Latham,Finance,No,Male,Middle Eastern,No,No,33,Indian
155,Leroy,Saunders,Finance,No,Female,Black,No,No,29,English
156,Michael,Thatcher,RD,No,Female,White,Yes,No,45,Moroccan
157,Charlotte,Bailey,Marketing,Yes,Male,White,No,No,38,American
158,Darlene,Parsons,Finance,No,Male,White,Prefer not to say,No,27,Sri Lankan
159,Diane,Addison,IT,No,Male,White,No,No,40,Vietnamese
160,Luke,Harrison,Sales,No,Male,White,No,No,26,Canadian
161,Zoe,Gray,HR,No,Female,White,No,No,48,Chinese
162,Kimberly,Chester,Operations,No,Male,White,No,No,29,Canadian
163,Camellia,Harvey,Sales,No,Male,White,No,No,45,Indian
164,Ryan,Cowan,Operations,Yes,Male,White,Yes,No,44,Malaysian
165,Elijah,Baker,Sales,No,Female,Asian,No,No,32,Canadian
166,Erica,Weasley,IT,No,Male,Asian,No,No,38,Malaysian
167,Cameron,Niles,IT,No,Male,White,Yes,No,48,Polish
168,Daron,Moore,Marketing,Yes,Prefer not to say,White,Yes,No,35,Indian
169,Florence,West,RD,No,Male,White,No,No,29,Nigerian
170,Carissa,Wren,IT,No,Male,White,No,No,30,Canadian
171,Anthony,Neville,Marketing,No,Male,White,No,No,32,American
172,Doris,Stuart,IT,No,Male,White,Yes,No,42,Canadian
173,Rowan,Ashwell,RD,No,Male,White,Prefer not to say,No,40,Canadian
174,Vanessa,Glass,Finance,No,Male,White,No,No,34,Russian
175,Alessandra,Thomson,Sales,No,Male,White,No,No,29,Canadian
176,Karla,Spencer,HR,No,Male,Latin,No,No,26,Indian
177,Josephine,Watson,Sales,No,Female,White,No,No,28,Canadian
178,Erica,Shaw,Sales,No,Male,White,No,No,32,German
179,Alexia,Thompson,Marketing,No,Male,White,Yes,No,44,English
180,Matthew,King,Sales,No,Female,White,Yes,No,27,British
181,Eve,Jones,IT,No,Male,White,No,No,41,Canadian
182,Harmony,James,IT,No,Female,White,Yes,No,55,Korean
183,Destiny,Murray,IT,No,Male,Asian,Yes,No,31,American
184,Alexa,Chadwick,IT,No,Non-binary/non-conforming,Asian,No,No,43,Chilean
185,Roger,Ashley,Marketing,No,Female,Asian,No,No,36,Indian
186,Olivia,Yarlett,IT,No,Male,White,Yes,No,27,Chilean
187,Hank,Chester,Sales,No,Female,White,No,No,33,Australian
188,Barney,Abbot,Finance,No,Prefer not to say,White,Yes,No,50,Canadian
189,Zoe,Todd,Operations,Yes,Male,White,No,No,36,Indian
190,Anais,Parker,Operations,No,Female,White,No,No,40,Canadian
191,Carl,Bingham,IT,Yes,Female,Black,No,No,42,British
192,Carl,Richards,IT,No,Female,White,No,No,28,Indian
193,Elijah,Cooper,Sales,No,Female,White,No,No,47,Canadian
194,Kenzie,Fowler,Finance,No,Prefer not to say,White,No,No,42,Moroccan
195,Chanelle,Mcguire,HR,No,Male,White,Yes,No,53,Canadian
196,Maxwell,Verdon,Sales,No,Male,Asian,No,No,43,American
197,Grace,Mcleod,HR,No,Female,White,No,No,38,Canadian
198,Ember,Barrett,Operations,No,Male,White,No,No,38,Fijian
199,Ryan,Leslie,Sales,No,Male,White,No,No,26,Colombian
200,Luke,Sinclair,Sales,No,Male,White,No,No,35,Canadian
201,Alessandra,Callan,HR,No,Female,White,No,No,32,Canadian
202,Tyler,Grant,Marketing,No,Female,White,Yes,No,29,Canadian
203,Kassandra,Jarrett,Sales,No,Male,White,No,No,39,Indian
204,Russel,Larsen,Operations,Yes,Male,Asian,No,No,43,Colombian
205,Rhea,Latham,Marketing,No,Female,Latin,Yes,No,62,Canadian
206,Rita,Russel,Finance,No,Male,White,Yes,No,41,Canadian
207,Carina,Robertson,Operations,No,Female,Middle Eastern,No,No,37,American
208,Hayden,Kent,HR,No,Non-binary/non-conforming,Asian,No,No,45,Canadian
209,Oliver,Becker,Finance,No,Male,Asian,No,No,33,Canadian
210,Candice,Watt,RD,No,Male,White,No,No,40,Canadian
211,Jackeline,Andrews,IT,No,Female,White,No,No,53,Canadian
212,Leroy,Benfield,Sales,No,Male,White,Prefer not to say,No,28,Ukrainian
213,Holly,Walker,Marketing,No,Female,White,Yes,No,39,Moroccan
214,Aleksandra,Gordon,IT,No,Male,White,No,No,65,Indian
215,Sara,Milner,Operations,No,Prefer not to say,Asian,No,No,38,Canadian
216,Teagan,Russell,Sales,No,Male,White,No,No,39,Indian
217,Beatrice,Curtis,Finance,No,Female,White,No,No,62,Colombian
218,Russel,Wright,Finance,No,Female,White,No,No,50,Canadian
219,Adalind,Denton,HR,No,Female,White,No,No,26,Indonesian
220,Valentina,Edmonds,Sales,No,Female,White,No,No,36,Canadian
221,Russel,Thomson,Sales,No,Female,White,No,No,40,American
222,Aileen,Steer,HR,No,Female,White,No,No,40,Polish
223,Vera,Pierce,IT,No,Female,White,No,No,28,Russian
224,Maria,Davies,Finance,No,Male,White,No,No,40,German
225,Susan,Emmott,Sales,No,Male,White,No,No,29,Korean
226,Aiden,Seymour,Operations,No,Male,Black,Yes,No,25,Indian
227,Kamila,Nielson,Marketing,No,Female,Latin,No,No,33,American
228,Wade,Morris,Operations,No,Male,Other,No,No,55,American
229,Carl,Hobbs,IT,No,Male,Middle Eastern,No,No,47,Hungarian
230,Elijah,Bishop,Finance,No,Male,White,No,No,43,Indian
231,Bethany,Dubois,IT,No,Male,White,No,No,49,Canadian
232,Martin,Norburn,Marketing,No,Female,White,No,No,44,Russian
233,Samantha,Reese,Sales,No,Male,Middle Eastern,No,No,63,Vietnamese
234,Maxwell,Uttley,IT,No,Male,Asian,No,No,32,Canadian
235,Henry,Doherty,Sales,No,Male,White,No,No,27,British
236,Sydney,Parker,Sales,No,Male,White,No,No,37,American
237,Sienna,Clark,Sales,No,Male,White,No,No,63,Vietnamese
238,Sadie,Lindop,Sales,No,Female,Asian,No,No,44,Canadian
239,Joyce,Farrant,Finance,Yes,Female,Latin,No,No,32,Indian
240,Daniel,Ulyatt,HR,No,Female,White,No,No,33,Canadian
241,Alan,Swan,Operations,No,Male,Prefer not to say,No,No,29,American
242,Sadie,Roth,Marketing,No,Female,White,No,No,44,Chinese
243,Emma,Goldsmith,Sales,No,Male,Asian,No,No,40,English
244,Tiffany,Hall,IT,No,Female,White,No,No,28,Taiwanese
245,Aiden,Palmer,IT,No,Male,White,No,No,28,Russian
246,Carmen,Fall,Operations,No,Female,White,No,No,39,Indian
247,Sarah,Shepherd,Sales,No,Female,White,Yes,No,35,Indian
248,Jamie,Wilton,Finance,Yes,Male,Black,No,No,47,Indian
249,Elijah,Bradshaw,Sales,No,Male,White,No,No,47,Canadian
250,Kieth,Hill,HR,Yes,Male,Asian,Yes,No,45,Canadian
251,Blake,Graham,Sales,No,Prefer not to say,Asian,No,No,47,Canadian
252,Mark,Horton,Sales,No,Male,White,Yes,No,40,Cuban
253,Violet,Uttridge,Finance,No,Male,White,No,No,51,Canadian
254,Erick,Wilcox,Sales,No,Other,Asian,No,No,57,Canadian
255,Catherine,Hall,Sales,No,Male,White,No,No,63,Canadian
256,Mike,Beal,IT,No,Female,Middle Eastern,No,No,30,Canadian
257,Logan,Mcgee,Finance,No,Male,White,No,No,30,Canadian
258,Gloria,Purvis,Marketing,Yes,Male,White,No,No,38,Canadian
259,Marigold,Davies,IT,No,Female,White,No,No,41,Canadian
260,Anthony,Newton,Finance,No,Male,White,No,No,41,Bangladeshi
261,Rosalyn,Callan,Operations,No,Female,Asian,Yes,No,32,Canadian
262,Julianna,Jacobs,HR,No,Female,Asian,Yes,No,39,Canadian
263,Zoe,Hopkinson,Operations,No,Female,White,Yes,No,31,American
264,Jack,Noach,Operations,No,Male,White,No,No,29,Indian
265,Brad,Verdon,Finance,No,Female,White,No,No,28,Greek
266,Rufus,Selby,HR,No,Female,Asian,No,No,45,German
267,Christine,Grady,Finance,No,Female,Other,No,No,44,Indian
268,Owen,Crawford,Finance,No,Prefer not to say,White,Yes,No,36,Canadian
269,Jack,Bradley,IT,No,Female,White,No,No,31,Uruguayan
270,Bart,Yard,Sales,No,Female,Asian,Yes,No,33,Ukrainian
271,Johnathan,Pope,IT,No,Female,Asian,No,No,30,Guatemalan
272,Alexander,Carter,IT,No,Male,White,No,No,56,Bangladeshi
273,Bob,Owen,RD,No,Transgender,White,No,No,41,Australian
274,Manuel,Hepburn,IT,No,Male,White,No,No,44,Spanish
275,Maxwell,Emmett,HR,No,Female,White,No,No,28,Canadian
276,Barry,Steer,Sales,No,Male,White,No,No,43,Malaysian
277,Henry,Redwood,Marketing,No,Female,White,No,No,30,Malaysian
278,Domenic,Mooney,Operations,No,Male,White,No,No,38,Canadian
279,Gina,Coleman,Operations,No,Male,White,No,No,54,Canadian
280,Andrea,Mcguire,Sales,No,Male,White,No,Prefer not to say,42,Indian
281,Alexander,Ellwood,Sales,No,Female,White,No,No,40,Russian
282,Rosalie,Walter,Marketing,No,Male,Asian,No,No,45,Canadian
283,Paula,Harrington,Sales,Yes,Male,White,No,No,34,Thai
284,Abdul,Bradshaw,Operations,No,Prefer not to say,Latin,No,No,56,Indian
285,Nick,Goldsmith,Marketing,Yes,Male,White,No,No,29,Canadian
286,Marvin,Brown,Operations,No,Male,Asian,No,No,45,Japanese
287,Charlize,Boden,Finance,No,Male,White,No,No,37,Canadian
288,Alexia,Beal,Finance,Yes,Female,Asian,No,No,45,Canadian
289,Hayden,Redfern,Sales,No,Male,White,No,No,41,Canadian
290,David,Rehman,Finance,No,Male,White,No,No,32,Namibian
291,Alan,Dobson,Finance,No,Male,White,Yes,No,61,Ukrainian
292,Emely,Shelton,IT,No,Male,White,No,No,40,Canadian
293,Laila,Redwood,Sales,No,Male,White,No,No,31,Indian
294,Camellia,Shepherd,Finance,Yes,Male,White,No,No,49,Danish
295,Joseph,Thorpe,RD,No,Female,White,No,No,60,Canadian
296,Martin,Uddin,Sales,No,Female,Black,No,No,42,British
297,Maddison,Foxley,Operations,Yes,Transgender,White,No,No,33,Canadian
298,Chester,Farrell,Marketing,No,Male,White,No,No,42,English
299,Phillip,Snell,IT,Yes,Male,White,No,No,41,Canadian
300,Abdul,Swift,Operations,No,Male,White,No,No,32,Australian
301,Britney,Kennedy,Marketing,No,Male,Prefer not to say,No,No,44,German
302,Noah,Randall,IT,No,Female,Middle Eastern,No,No,26,Canadian
303,Percy,Roth,HR,No,Male,Asian,No,No,51,Canadian
304,Josephine,Wilkinson,Sales,Yes,Female,White,Yes,No,64,American
305,Ramon,Greenwood,Sales,No,Prefer not to say,White,Yes,No,29,Indian
306,Erica,Kaur,HR,No,Male,White,No,No,37,American
307,Mark,Bullock,Marketing,No,Male,White,No,No,42,Canadian
308,Alba,Raven,Sales,No,Male,White,No,No,43,Vietnamese
309,Carina,Lloyd,Operations,No,Male,Asian,No,No,57,Canadian
310,Maribel,Cavanagh,Marketing,No,Male,Asian,No,No,44,Canadian
311,Elisabeth,Lynn,Finance,No,Male,White,No,No,36,English
312,Hayden,Stewart,HR,No,Female,Middle Eastern,No,No,42,Canadian
313,Vivian,Hunt,IT,No,Female,White,Prefer not to say,No,34,Indian
314,Valerie,Blackwall,IT,No,Male,White,No,No,40,Canadian
315,Nicholas,Clarke,RD,No,Female,Black,No,No,32,Canadian
316,Denny,Lowe,IT,No,Female,White,No,No,49,American
317,Kieth,Tailor,Sales,No,Male,White,Prefer not to say,No,29,Indian
318,Ethan,Bennett,Finance,No,Male,White,No,No,29,Canadian
319,Aisha,Ellery,Sales,No,Female,White,No,No,38,Korean
320,Abdul,Reynolds,Operations,No,Female,White,No,No,41,Lao
321,Chris,Sawyer,Finance,No,Female,Other,No,No,37,Indian
322,Ramon,Vaughn,Finance,No,Female,Asian,No,No,57,Irish
323,Hank,Dyson,IT,No,Female,Asian,No,No,25,Canadian
324,Willow,Nicholls,IT,No,Male,Asian,No,No,31,Malagasy
325,Javier,Brett,Marketing,No,Male,White,No,No,26,American
326,Rosemary,Bennett,IT,Yes,Male,Asian,No,No,37,Canadian
327,Marissa,Welsch,Operations,No,Male,White,No,No,53,Canadian
328,Camila,Wellington,HR,No,Female,Asian,No,No,31,American
329,Kenzie,Bishop,Sales,No,Female,Asian,No,No,29,Canadian
330,Adalie,Eastwood,HR,No,Male,Asian,No,No,30,Canadian
331,Margot,Owen,HR,No,Other,Black,No,No,65,Colombian
332,Marilyn,Butler,Finance,No,Male,Asian,No,No,34,Greek
333,Tess,Forth,IT,Yes,Male,White,Yes,No,33,Canadian
334,Barney,James,IT,No,Male,White,Yes,No,52,Bolivian
335,Ally,Rainford,IT,No,Male,White,No,No,31,Canadian
336,Marissa,Larkin,Sales,No,Male,White,No,No,47,Canadian
337,Cadence,Walter,Marketing,No,Male,White,No,No,28,Russian
338,Percy,Ebden,HR,No,Male,White,No,No,31,Moroccan
339,Russel,Lloyd,HR,No,Male,White,No,No,25,Moroccan
340,Elijah,Chester,Sales,No,Male,White,No,No,38,Canadian
341,Chad,Willson,Sales,No,Male,White,No,No,27,Canadian
342,Alexa,Palmer,Marketing,No,Male,Asian,No,No,40,American
343,Doug,Grant,IT,No,Female,White,No,No,38,Canadian
344,Mark,Styles,HR,No,Male,White,No,No,32,Colombian
345,Enoch,Isaac,Finance,No,Male,Asian,No,No,39,Canadian
346,Nicole,Kaur,Sales,Yes,Female,White,Prefer not to say,No,34,Honduran
347,Gabriel,Vane,Sales,No,Female,White,Yes,No,41,Indian
348,Chester,Lee,HR,No,Female,Asian,No,No,27,Canadian
349,Melody,Simpson,Marketing,No,Male,White,No,No,39,Canadian
350,Dani,Connor,IT,No,Male,White,No,No,39,Canadian
351,Jade,Gordon,HR,No,Male,Asian,Yes,No,41,Indian
352,Candice,Matthews,Operations,No,Female,White,No,No,30,Canadian
353,Sadie,Dempsey,Finance,No,Female,White,No,No,38,British
354,Selena,Ebbs,IT,No,Female,White,No,No,27,Canadian
355,Ethan,James,Operations,No,Male,White,No,No,48,Canadian
356,Boris,Devonport,Operations,No,Male,White,No,No,35,Indian
357,Bob,Moreno,Marketing,No,Female,White,No,No,32,Korean
358,Cassandra,Lowe,Sales,No,Female,Asian,Yes,No,36,Vietnamese
359,Anthony,Squire,IT,No,Male,Latin,No,No,57,Canadian
360,Phillip,Tanner,Finance,No,Male,White,No,No,52,American
361,Ivette,Adler,IT,No,Female,White,No,Yes,65,Canadian
362,Analise,Judd,Operations,No,Male,White,No,No,31,Colombian
363,Colleen,Hobson,Sales,Yes,Male,White,Yes,No,28,American
364,Henry,Emerson,Sales,No,Male,Middle Eastern,No,No,36,Canadian
365,Manuel,Gray,Operations,No,Male,Latin,No,No,32,Indian
366,Tyson,Simpson,HR,Yes,Female,White,No,No,32,Canadian
367,Denny,Sherry,Marketing,No,Male,White,No,No,32,Ukrainian
368,Holly,Rehman,Finance,No,Male,White,No,No,35,Canadian
369,Marjorie,Alcroft,RD,No,Male,White,No,No,31,Austrian
370,Harriet,Alcroft,Sales,No,Male,White,Yes,No,43,American
371,Natalie,Casey,Marketing,No,Female,White,No,No,33,Canadian
372,Sofie,Donovan,Sales,No,Male,White,No,No,29,Ukrainian
373,Peter,Lunt,Marketing,No,Female,White,No,No,45,Canadian
374,Tyler,Garcia,Marketing,No,Female,White,Yes,No,31,American
375,Valerie,Partridge,IT,No,Male,White,No,No,32,Canadian
376,Caleb,Wright,Marketing,No,Male,White,Yes,No,37,Canadian
377,William,Buckley,Finance,No,Male,Asian,No,No,34,American
378,Percy,Mills,Marketing,No,Male,White,No,No,25,American
379,Liam,Price,IT,No,Male,White,No,No,37,British
380,Barney,Weldon,Marketing,No,Female,White,No,No,47,Canadian
381,Joseph,Goldsmith,Marketing,No,Male,White,No,No,34,Canadian
382,Denny,Douglas,IT,Yes,Prefer not to say,Asian,No,No,25,Indian
383,Andrea,Oliver,IT,No,Female,White,No,No,49,Indian
384,Jack,Shea,Sales,No,Non-binary/non-conforming,Asian,No,No,32,Brazilian
385,Alexander,Redfern,Sales,No,Female,White,No,No,38,Canadian
386,Marvin,Wellington,Operations,No,Male,White,No,No,30,Chinese
387,Ethan,Noach,Finance,No,Female,White,No,No,28,Indonesian
388,Cassidy,Forester,Finance,No,Female,Asian,No,No,52,Bangladeshi
389,Bart,Power,Finance,No,Male,White,No,No,32,Polish
390,Mavis,Porter,IT,No,Male,Latin,No,No,33,Canadian
391,Candice,Gavin,Sales,No,Male,White,No,No,37,Canadian
392,Rose,Swan,IT,No,Other,Asian,No,No,39,Canadian
393,Oliver,Harvey,Operations,Yes,Male,Prefer not to say,No,No,39,Canadian
394,Denny,Callan,Operations,No,Female,White,No,Prefer not to say,35,Canadian
395,Margaret,Fenton,Marketing,No,Prefer not to say,White,No,No,29,Canadian
396,John,Morrow,Finance,No,Male,Asian,No,No,28,Bangladeshi
397,Nicholas,Thorne,HR,No,Male,White,No,No,37,Romanian
398,Rosie,Uddin,Marketing,No,Female,Asian,No,No,26,English
399,George,Willson,HR,No,Female,White,No,No,38,English
400,Julianna,Holt,Marketing,No,Male,Asian,No,No,38,Canadian
401,Natalie,Ring,IT,No,Male,White,No,No,41,Uruguayan
402,Kassandra,Donnelly,Finance,No,Male,White,No,No,33,Greek
403,Courtney,Ventura,RD,No,Female,White,No,No,35,Canadian
